Country,Scale,Base Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,Millions,, , , , , , , , , , ,17313.00 ,17473.00 ,18551.00 ,20250.00 ,22238.00 ,23908.00 ,25581.00 ,28317.00 ,30891.00 ,34716.00 ,38598.00 ,42663.00 ,46772.00 ,55231.00 ,65960.00 ,76997.00 ,90424.00 ,100659.00 ,111077.00 ,127482.00 ,143819.00 ,164616.00 ,183829.00 ,199119.00 ,224755.00 ,249423.00 ,271411.00 ,305325.00 ,345423.00 ,388584.00 ,413311.00 ,416357.00 ,432040.00 ,454964.00 ,482370.00 ,511780.00 ,542763.00 ,573068.00 ,604670.00 ,637337.00 ,686658.00 ,729932.00 ,782251.00 ,830129.00 ,894439.00 ,963934.00 ,1039033.00 ,1132721.00 ,1235715.00 ,1262608.00 ,1365044.00 ,1468310.00 ,1515110.00 ,1568739.00 ,1613129.00 ,1638321.00 ,1699869.00 ,1802707.00 ,1895315.00 ,1995000.00 ,1968900.00 ,2174291.00 
Austria,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,176608.75 ,182540.88 ,188723.76 ,196346.61 ,203850.58 ,213606.48 ,220525.08 ,226735.22 ,231862.46 ,242348.26 ,254075.03 ,267824.45 ,283977.97 ,293761.91 ,288044.02 ,295896.64 ,310128.66 ,318653.04 ,323910.20 ,333146.07 ,344269.23 ,357607.95 ,369361.87 ,385423.95 ,397518.54 ,379320.56 ,403370.43 
"Azerbaijan, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4813.82 ,5315.60 ,6220.08 ,7288.54 ,8766.76 ,13038.20 ,19355.10 ,29552.40 ,41314.70 ,36084.30 ,43283.30 ,52082.00 ,54743.70 ,58182.00 ,59543.70 ,54380.00 ,60425.20 ,70337.80 ,81092.00 ,82896.20 ,72432.20 , 
"Bahamas, The",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6332.36 ,6833.22 ,7683.87 ,8076.47 ,8317.83 ,8881.16 ,8870.09 ,9055.29 ,9836.20 ,10167.25 ,10618.34 ,10526.00 ,9981.96 ,10095.76 ,10070.45 ,10720.50 ,10618.30 ,11224.20 ,11857.70 ,12242.40 ,12380.20 ,12743.80 ,13165.40 ,9705.20 , 
"Bahrain, Kingdom of",Millions,, , , , , , , , , , , , ,125.18 ,134.69 ,143.46 ,151.08 ,156.90 ,167.50 ,177.11 ,180.51 ,187.05 ,200.97 ,234.54 ,305.55 ,412.56 ,436.59 ,665.04 ,899.34 ,1059.01 ,1190.80 , , , , , , , , , , , , , , ,2410.20 ,2551.90 ,2654.20 ,2750.60 ,2631.20 ,2851.00 ,3407.65 ,3375.05 ,3607.16 ,4164.13 ,4944.46 ,6004.24 ,6957.79 ,8170.48 ,9667.29 ,8624.77 ,9668.19 ,10820.01 ,11561.75 ,12234.87 ,12553.77 ,11675.04 ,12120.35 ,13338.14 ,14157.91 ,14466.12 ,13059.91 , 
Bangladesh,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,250840.05 ,349756.57 ,373749.39 ,419698.83 ,473728.07 ,568261.82 ,651979.99 ,734062.24 ,844306.56 ,928095.50 ,1033291.70 ,1164037.16 ,1282255.69 ,1386957.64 ,1454564.96 ,1571083.77 ,1769545.60 ,1929728.22 ,2096536.86 ,2322493.65 ,2548976.01 ,2750720.11 ,2941701.99 ,3169739.06 ,3487397.49 ,3863228.32 ,4301025.46 ,4823368.00 ,5497998.00 ,6286823.00 ,7050718.00 ,7975387.00 ,9158288.00 ,10552040.00 ,11989232.00 ,13436744.00 ,15158022.00 ,17328637.00 ,19758154.00 ,22504810.00 ,25424840.00 ,27393324.00 , 
Barbados,Millions,,60.50 ,70.40 , , , , , , , , , , , ,148.26 ,162.30 ,172.91 ,190.82 ,207.64 ,235.24 ,261.67 ,298.63 ,357.24 ,400.01 ,485.84 ,674.24 ,991.30 ,1119.28 ,1168.99 ,1308.29 ,1586.30 , , , , , , , , , , , , , , , , , , , , , , , , , , ,8598.50 ,9111.40 ,9189.00 ,9029.80 ,8774.00 ,8986.70 ,9121.50 ,9058.00 ,9230.50 ,9457.40 ,9873.00 ,9886.60 ,9781.50 ,10210.00 ,8514.00 , 
"Belarus, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00 ,0.00 ,0.01 ,0.30 ,5.35 ,11.72 ,18.52 ,35.42 ,67.79 ,292.16 ,913.38 ,1717.32 ,2613.83 ,3656.48 ,4999.18 ,6506.71 ,7926.70 ,9716.53 ,12979.08 ,13744.22 ,17046.58 ,30724.50 ,54761.67 ,67068.85 ,80579.27 ,89909.81 ,94949.00 ,105748.20 ,122319.70 ,134732.10 ,149720.80 , 
Belgium,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,210489.10 ,214287.10 ,224101.50 ,232623.80 ,242307.60 ,256376.40 ,264334.90 ,273255.90 ,281200.20 ,296819.70 ,310037.60 ,325151.50 ,343618.90 ,351743.10 ,346472.80 ,363140.10 ,375967.80 ,386174.70 ,392880.00 ,403003.30 ,416701.40 ,430085.30 ,445050.10 ,460091.70 ,478238.90 ,456731.50 ,507194.20 
Belize,Millions,, , , , , , , , , , , , , ,41.61 ,65.19 ,62.38 ,60.51 ,51.95 ,33.82 ,34.59 ,44.19 ,55.96 ,70.61 ,117.28 ,154.81 ,188.21 ,181.55 ,212.08 ,212.88 ,280.33 ,344.50 ,358.88 ,358.57 ,378.04 ,421.88 ,418.46 ,455.83 ,533.14 ,629.92 ,726.43 ,824.17 ,889.44 ,1036.48 ,1119.72 ,1161.73 ,1240.28 ,1282.77 ,1308.63 ,1377.98 ,1465.46 ,1664.14 ,1743.72 ,1865.10 ,1962.87 ,2101.73 ,2205.13 ,2421.21 ,2543.20 ,2702.68 ,2598.93 ,2754.35 ,2921.60 ,3045.80 ,3158.82 ,3334.67 ,3443.40 ,3578.61 ,3717.06 ,3831.80 ,3965.04 ,3412.58 , 
Benin,Millions,, , , , , , , , , , , , ,148214.99 ,168532.14 ,187659.49 ,203306.84 ,218253.22 ,228257.42 ,244301.30 ,256522.03 ,278269.18 ,291533.47 ,329969.72 ,360678.62 ,381585.29 ,261233.61 ,294889.59 ,342353.29 ,381751.12 ,448142.60 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6732814.00 ,7005230.00 ,7375302.20 ,7922004.06 ,8432247.51 ,9008807.34 , 
Bermuda,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6085.19 ,5983.69 ,5945.28 ,5736.38 ,5668.91 ,5653.43 ,5672.07 ,5843.93 , , , , , , 
Bhutan,Millions,, , , , , , , , , , , , , ,261.76 ,277.37 ,290.53 ,319.15 ,350.12 ,367.17 ,400.09 ,443.94 ,476.13 ,510.67 ,585.48 ,720.94 ,697.11 ,759.47 ,819.49 ,738.62 ,820.64 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,70782.71 ,82938.12 ,95186.52 ,102909.95 ,116388.56 ,128534.63 ,145072.86 ,159571.70 ,167339.97 ,178561.73 ,171572.90 , 
