,Year,Country,ISO,Total Deaths,CPI,GDP(million dollars),Population,healthexp,tmax,duration
126,2019,Austria,AUT,1.0,94.3490925,"397,518.54",8879920.0,5242.183105,28.5,3
127,2019,Belgium,BEL,128.0,94.3490925,"478,238.90",11488980.0,4960.393555,24.2,377
128,2019,Belgium,BEL,400.0,94.3490925,"478,238.90",11488980.0,4960.393555,24.2,9
129,2019,Belgium,BEL,188.0,94.3490925,"478,238.90",11488980.0,4960.393555,24.2,7
130,2019,Germany,DEU,4.0,94.3490925,"3,473,350.00",83092962.0,5440.251465,22.5,7
132,2019,Spain,ESP,2.0,94.3490925,"1,244,375.00",47134837.0,2711.192871,26.9,5
133,2019,France,FRA,567.0,94.3490925,"2,437,635.00",67248926.0,4491.735352,25.7,14
134,2019,France,FRA,868.0,94.3490925,"2,437,635.00",67248926.0,4491.735352,25.7,7
135,2019,United Kingdom,GBR,5.0,94.3490925,"2,255,283.00",66836327.0,4312.88916,19.4,5
137,2019,Italy,ITA,3.0,94.3490925,"1,796,633.80",59729081.0,2905.5,31.9,5
138,2019,Japan,JPN,162.0,94.3490925,"558,491,200.00",126633000.0,4360.473633,27.7,11
139,2019,Japan,JPN,11.0,94.3490925,"558,491,200.00",126633000.0,4360.473633,27.7,9
140,2019,"Netherlands, The",NLD,400.0,94.3490925,"813,055.00",17344874.0,5335.30127,23.1,6
